Name,Set code,Language,Quantity
Ent's Fury,LTR,de,1
Gift of Strands,LTR,de,1
Bombadil's Song,LTR,de,1
Mirrormere Guardian,LTR,de,1
Dúnedain Rangers,LTR,de,1
Mirkwood Spider,LTR,de,1
Meriadoc Brandybuck,LTR,de,1
Brandywine Farmer,LTR,de,1
Delighted Halfling,LTR,de,1
Elanor Gardner,LTR,de,1
"Quickbeam, Upstart Ent",LTR,de,1
Revive the Shire,LTR,de,1
Nimrodel Watcher,LTR,de,1
Ithilien Kingfisher,LTR,de,1
Saruman the White,LTR,de,1
Saruman's Trickery,LTR,de,1
Arwen's Gift,LTR,de,1
Glorious Gale,LTR,de,1
Horses of the Bruinen,LTR,de,1
Pelargir Survivor,LTR,de,1
Scroll of Isildur,LTR,de,1
Elvish Mariner,LTR,de,1
"Elrond, Lord of Rivendell",LTR,de,1
Willow-Wind,LTR,de,1
Nimble Hobbit,LTR,de,1
Eastfarthing Farmer,LTR,de,1
Reprieve,LTR,de,1
Hobbit's Sting,LTR,de,1
Took Reaper,LTR,de,1
Samwise the Stouthearted,LTR,de,1
Rosie Cotton of South Lane,LTR,de,1
Slip On the Ring,LTR,de,1
Horn of Gondor,LTR,de,1
"Saradoc, Master of Buckland",LTR,de,1
Escape from Orthanc,LTR,de,1
Bill the Pony,LTR,de,1
Battle-Scarred Goblin,LTR,de,1
"Gimli, Counter of Kills",LTR,de,1
"Fear, Fire, Foes!",LTR,de,1
Gimli's Fury,LTR,de,1
Erebor Flamesmith,LTR,de,1
Swarming of Moria,LTR,de,1
"Grishnákh, Brash Instigator",LTR,de,1
Olog-hai Crusher,LTR,de,1
Assault on Osgiliath,LTR,de,1
"Éomer, Marshal of Rohan",LTR,de,1
Foray of Orcs,LTR,de,1
Quarrel's End,LTR,de,1
